9,1273.15,-2541900.081,-480.8136067,60.58213495,2.398601574,6.886725455
9,1323.15,-4640955.013,1040.573999,-372.7440984,111.0365665,3.073749176
11.07,973.15,2034137.192,2594.685768,-413.6187531,-176.8314094,22.85824412
11.07,1023.15,1807928.778,27.00489922,-121.4829189,-150.4844319,-3.843253942
11.07,1073.15,1446805.644,-1164.541493,139.9442711,-99.56701864,-15.19645203
11.07,1123.15,895119.4956,-1609.960946,294.5843885,-66.6312148,-18.33431543
11.07,1173.15,84231.71246,-1562.330116,369.6340787,-50.67085931,-14.30999261
11.07,1223.15,-1067917.356,-1112.031973,392.480277,-47.75294697,-2.45229488
11.07,1273.15,-2656800.252,-253.5436275,162.001364,-33.57702877,4.938336554
11.07,1323.15,-4791444.805,1298.387666,-302.3469703,100.8360133,-4.735200099
13.005,923.15,2162100.325,13018.89535,281.542405,642.1939402,-7.820961276
13.005,973.15,2023033.243,4786.099608,-513.7570106,-267.8220502,36.96936894
13.005,1023.15,1789635.983,1291.860826,-169.90358,-239.1967103,10.73171156
13.005,1073.15,1418519.364,-372.9505667,164.7867839,-171.3192409,-4.825682526
13.005,1123.15,853389.2918,-1080.752613,371.7724329,-125.2314977,-11.35263538
13.005,1173.15,24942.65204,-1185.109353,480.6029983,-100.663784,-9.883240448
13.005,1223.15,-1149520.918,-824.2315179,528.3838542,-92.77995986,0.626340653
13.005,1273.15,-2766045.124,-12.02218256,242.2494472,-68.14821666,2.94498775
13.005,1323.15,-4934314.467,1558.941966,-234.3606647,89.06152073,-10.7796462
15.03,923.15,2155001.913,18564.06865,734.3583289,997.7374081,-254.3231466
15.03,973.15,2011047.933,7349.758313,-629.3450004,-372.1071211,42.46716689
15.03,1023.15,1769952.08,2765.637351,-237.0300372,-340.3925436,27.60833815
15.03,1073.15,1388158.016,552.0288148,177.6774048,-252.4169997,7.804121701
15.03,1123.15,808706.6732,-460.9594986,443.5166786,-190.8625528,-2.518649739
15.03,1173.15,-38389.71805,-743.2709554,590.9677373,-156.5426975,-3.753660923
15.03,1223.15,-1236537.218,-488.9672451,669.2813709,-142.706736,4.764082711
15.03,1273.15,-2882289.484,271.3028364,314.0270016,-106.2604441,0.333478247
15.03,1323.15,-5086119.85,1849.286682,-158.7885029,73.72068108,-15.57284609
17.01,1023.15,1750153.128,4340.703912,-317.0281949,-447.5485284,44.66530764
17.01,1073.15,1357703.719,1542.524956,178.6569421,-337.6183842,22.41043456
17.01,1123.15,764004.5913,204.5198855,506.2430157,-259.5859354,7.952409101
17.01,1173.15,-101609.8343,-267.6489521,692.7200344,-214.1073424,3.411824364
17.01,1223.15,-1323180.141,-126.0804658,797.8737142,-193.3964457,10.13858532
17.01,1273.15,-2997877.947,581.5371998,376.0588797,-146.3743802,-3.358008432
17.01,1323.15,-5236853.307,2151.422187,-81.77545234,56.99644636,-19.07017294
19.035,973.15,1986206.509,13141.45618,-900.8494124,-621.4877977,22.43051783
19.035,1023.15,1729319.9,6073.273307,-410.9665467,-564.718125,62.00561375
19.035,1073.15,1325756.132,2635.410346,169.3905102,-430.284728,38.91335278
19.035,1123.15,717234.4083,941.689952,561.3220027,-333.7421695,20.46125453
19.035,1173.15,-167605.0664,259.8106933,791.1821423,-276.0205741,12.24910843
19.035,1223.15,-1413456.549,276.0826527,926.0653571,-247.6082723,16.64272292
19.035,1273.15,-3118070.341,939.5146012,431.4940254,-190.4976397,-8.183055509
19.035,1323.15,-5393355.344,2475.675056,3.33336821,36.48330412,-20.57468415
